author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
By MICHELLE L. PRICE - Associated Press,What if Donald Trump is convicted? The 2024 Republican convention rules don't address the issue,"The Republican National Committee’s rules for next year’s nominating contest and convention have been released, but a major question is unaddressed: Can delegates vote for a different candidate if the party’s presumptive nominee is convicted of a felony? Form…",https://apnews.com/article/trump-republican-delegates-2024-nomination-0bc16f9bf75ae9f42d85a8a5276aa03b,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/0/62/0623dd9b-d052-5a16-b431-a01de54eaef8/6569d90860ae8.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2023-12-01T00:02:32Z,"By MICHELLE L. PRICE - Associated Press
NEW YORK (AP) The Republican National Committee's rules for next year's nominating contest and convention were released this week without addressing a questio… [+5406 chars]",associated-press,Associated Press
ap news,AI WRITES LEGISLATION IN BRAZIL,City lawmakers in Brazil passed what appears to be the nation’s first legislation written entirely by artificial intelligence — even if they didn’t know it at the time. The experimental ordinance was passed in October in the southern city of Porto Alegre and …,https://apnews.com/article/brazil-artificial-intelligence-porto-alegre-5afd1240afe7b6ac202bb0bbc45e08d4,https://dims.apnews.com/dims4/default/715e850/2147483647/strip/true/crop/5760x3240+0+300/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fd8%2F96%2Fce55217de50d52a8929b1fdf75bb%2Fdd098ca653d34f9fbba5225784bae6aa,2023-12-01T00:00:03Z,Brazilian city enacts an ordinance that was secretly written by ChatGPTRIO DE JANEIRO (AP) — City lawmakers in Brazil have enacted what appears to be the nation’s first legislation written entirely b… [+5398 chars],associated-press,Associated Press
By JENNIFER PELTZ and MICHAEL R. SISAK - Associated Press,An appeals court reinstates gag order that barred Trump from maligning court staff in NY fraud trial,"A New York appeals court has reinstated a gag order that barred Donald Trump from commenting about court personnel after he disparaged a law clerk in his New York civil fraud trial. The trial judge, Arthur Engoron, imposed the gag…",https://apnews.com/article/trump-fraud-lawsuit-trial-gag-order-15304270ea3f61284a414f938155ae62,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/4/12/412389df-0f3e-5b1a-8f10-3936edeccdaa/654964e0bf716.image.jpg?crop=1763%2C926%2C0%2C125&resize=1200%2C630&order=crop%2Cresize,2023-11-30T21:49:32Z,"By JENNIFER PELTZ and MICHAEL R. SISAK - Associated Press
NEW YORK (AP) A New York appeals court Thursday reinstated a gag order that barred Donald Trump from commenting about court personnel after … [+4301 chars]",associated-press,Associated Press
KEVIN FREKING,Santos hangs by thread...,A defiant Rep. George Santos is refusing to resign and warning colleagues that his expulsion from Congress before being convicted in a court of law would establish a precedent that's “going to be the undoing of a lot of members.” The first-term Republican con…,https://apnews.com/article/george-santos-house-expulsion-vote-ethics-d24b4b727da4f6b9af26e5aa902db992,https://dims.apnews.com/dims4/default/a559193/2147483647/strip/true/crop/5000x2813+0+260/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Ff8%2Fe3%2F7f9a2e0327f47eb343f6c192a9b6%2Fd2a2cea11be349fb85a34676006befbf,2023-11-30T17:01:37Z,WASHINGTON (AP) A defiant Rep. George Santos is refusing to resign and warned on Thursday that his expulsion from Congress before being convicted in a court of law would establish a precedent that is… [+5770 chars],associated-press,Associated Press
AP,"Actress Frances Sternhagen, 93","Frances Sternhagen, the veteran character actor who won two Tony Awards and became a familiar maternal face to TV viewers later in life in such shows as “Cheers,” “ER,” “Sex and the City” and “The Closer,” has died. She was 93. Sternhagen won a Tony for best …",https://apnews.com/article/frances-sternhagen-dies-e920000a85584256ac62f51196826eb0,https://dims.apnews.com/dims4/default/522f1da/2147483647/strip/true/crop/2074x1167+0+312/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F82%2Fdb%2Fecab296f5f0e8c7044d1044483ff%2Fef2c66a11c604ba4b739cae97fb718a8,2023-11-30T14:06:00Z,"NEW YORK (AP) Frances Sternhagen, the veteran character actor who won two Tony Awards and became a familiar maternal face to TV viewers later in life in such shows as Cheers, ER, Sex and the City and… [+6585 chars]",associated-press,Associated Press
By JAMEY KEATEN and BASSAM HATOUM - Associated Press,"UN weather agency says 2023 is the hottest year on record, warns of further climate extremes ahead","The U.N. weather agency says 2023 is all but certain to be the hottest year on record, and warning of worrying trends that suggest increasing floods, wildfires, glacier melt, and heat waves in the future. The World Meteorological Organization also…",https://apnews.com/article/climate-changetemperature-increase-424df9320b443a311727f0733631974b,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/7/c9/7c93583f-45e4-5be7-a04d-3f74dee5a258/65687ad6306df.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2023-11-30T11:19:05Z,"By JAMEY KEATEN and BASSAM HATOUM - Associated Press
DUBAI, United Arab Emirates (AP) The U.N. weather agency said Thursday that 2023 is all but certain to be the hottest year on record, and warning… [+3325 chars]",associated-press,Associated Press
NANCY BENAC,A Jewish pioneer...,"Former Secretary of State Henry Kissinger has died, his consulting firm says. He was 100. Kissinger dominated foreign policy as the United States extricated itself from Vietnam and broke down barriers with China. He exerted uncommon influence on global affair…",https://apnews.com/article/henry-kissinger-obit-secretary-of-state-d7d289c3a0b911ed9b863c219cee77e8,https://dims.apnews.com/dims4/default/c08cc2e/2147483647/strip/true/crop/2232x1256+0+98/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fd2%2F04%2F18630c145d2068470fd55ad99eda%2F1fed62a9ed7b4d42a1842cd248b816c8,2023-11-30T03:31:37Z,"WASHINGTON (AP) Former Secretary of State Henry Kissinger, the diplomat with the thick glasses and gravelly voice who dominated foreign policy as the United States extricated itself from Vietnam and … [+8973 chars]",associated-press,Associated Press
"By WAFAA SHURAFA, JACK JEFFERY and MELANIE LIDMAN - Associated Press",Israel releases more Palestinian prisoners on sixth day of Gaza truce after Hamas frees 16 hostages,Israel released another group of Palestinian prisoners early Thursday in exchange for 16 hostages freed hours earlier by the Islamic militant group Hamas in Gaza. A bus carrying some of the Palestinian detainees was seen arriving in the West Bank…,https://apnews.com/article/israel-hamas-war-news-11-29-2023-57e73a26c647ecd97e77afe19c08e077,https://bloximages.chicago2.vip.townnews.com/thesunchronicle.com/content/tncms/assets/v3/editorial/3/56/35626395-3e55-58a5-800c-b4b520131348/65678d55ac83d.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2023-11-30T01:46:00Z,JERUSALEM (AP) Israel released another group of Palestinian prisoners early Thursday in exchange for 16 hostages freed hours earlier by the Islamic militant group Hamas in Gaza. The releases came on … [+8678 chars],associated-press,Associated Press
MARCIA DUNN,Astronomers Discover Star With 6 Planets That Orbit Perfectly in Sync...,"Astronomers have discovered six planets orbiting a bright, nearby star in perfect synchrony like a grand cosmic orchestra. The rare find can help explain how solar systems across the Milky Way galaxy came to be. Scientists made the announcement on Wednesday. …",https://apnews.com/article/six-planets-solar-system-nasa-esa-3d67e5a1ba7cbea101d756fc6e47f33d,https://dims.apnews.com/dims4/default/de24a9d/2147483647/strip/true/crop/2476x1393+4+0/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F99%2F25%2F6e63fe74868f917588f36b843824%2F1033740c87964b28977a6750ac6e6b4d,2023-11-29T21:22:37Z,"CAPE CANAVERAL, Fla. (AP) Astronomers have discovered a rare in-sync solar system with six planets moving like a grand cosmic orchestra, untouched by outside forces since their birth billions of year… [+2847 chars]",associated-press,Associated Press
ap news,Pope punishes leading critic in second action against conservative American...,"Pope Francis has decided to take measures to punish Cardinal Raymond Burke, who is one of his highest-ranking critics. Two people briefed on the measures say Francis has decided to revoke Burke's right to a Vatican apartment and salary. Burke's secretary says…",https://apnews.com/article/vatican-cardinal-burke-conservatives-strickland-163f2d3522a80fa5f908421cc812cfc9,https://dims.apnews.com/dims4/default/2e6e9f0/2147483647/strip/true/crop/5472x3078+0+285/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F78%2Fe5%2Fa82b6b70be4c02dee8d0ce4605dc%2F9cc6d953267d416ca71810a3896fdeed,2023-11-29T21:00:03Z,"Pope punishes leading critic Cardinal Burke in second action against conservative American prelatesVATICAN CITY (AP) — Pope Francis has decided to punish one of his highest-ranking critics, Cardinal … [+5814 chars]",associated-press,Associated Press
